MES,PRODUTO,NUMERO_DE_POSTOS_PESQUISADOS,UNIDADE_DE_MEDIDA,PRECO_MEDIO_REVENDA,DESVIO_PADRAO_REVENDA,PRECO_MINIMO_REVENDA,PRECO_MAXIMO_REVENDA,MARGEM_MEDIA_REVENDA,COEF_DE_VARIACAO_REVENDA,PRECO_MEDIO_DISTRIBUICAO,DESVIO_PADRAO_DISTRIBUICAO,PRECO_MINIMO_DISTRIBUICAO,PRECO_MAXIMO_DISTRIBUICAO,COEF_DE_VARIACAO_DISTRIBUICAO
15-10-2017,ETANOL_HIDRATADO,13725,R$/l,2.668,0.384,1.999,4.299,0.356,0.144,2.312,0.308,1.683,3.818,0.133
15-10-2017,GASOLINA_COMUM,15370,R$/l,3.895,0.250,3.199,5.200,0.438,0.064,3.457,0.196,2.790,4.150,0.057
15-10-2017,GLP,12382,R$/13kg,63.209,9.023,40.000,115.000,18.755,0.143,44.454,7.622,23.550,78.000,0.171
15-10-2017,GNV,855,R$/m3,2.387,0.286,1.740,2.999,0.650,0.120,1.737,0.200,1.365,2.297,0.115
15-11-2017,DIESEL,7139,R$/l,3.290,0.209,2.789,4.470,0.363,0.064,2.927,0.146,2.410,3.702,0.050
15-11-2017,DIESEL_S10,10001,R$/l,3.421,0.215,2.860,4.528,0.379,0.063,3.042,0.152,2.540,3.959,0.050
15-11-2017,ETANOL_HIDRATADO,11431,R$/l,2.790,0.362,1.990,4.399,0.372,0.130,2.418,0.281,1.687,4.457,0.116
15-11-2017,GASOLINA_COMUM,12806,R$/l,4.004,0.261,3.199,5.200,0.440,0.065,3.564,0.209,2.790,4.203,0.059
15-11-2017,GLP,10719,R$/13kg,65.188,8.765,45.000,115.000,18.219,0.134,46.969,7.545,30.000,85.000,0.161
15-11-2017,GNV,684,R$/m3,2.420,0.278,1.760,3.100,0.651,0.115,1.769,0.199,1.365,2.269,0.112
15-12-2017,DIESEL,6905,R$/l,3.323,0.205,2.890,4.470,0.378,0.062,2.945,0.147,2.133,3.726,0.050
15-12-2017,DIESEL_S10,9740,R$/l,3.455,0.213,2.799,4.520,0.399,0.062,3.056,0.152,2.590,4.140,0.050
15-12-2017,ETANOL_HIDRATADO,11153,R$/l,2.879,0.344,1.990,4.399,0.361,0.119,2.518,0.275,1.690,4.457,0.109
15-12-2017,GASOLINA_COMUM,12542,R$/l,4.085,0.256,3.399,5.200,0.432,0.063,3.653,0.203,2.990,4.366,0.056
15-12-2017,GLP,10264,R$/13kg,66.531,8.952,45.000,115.000,18.466,0.135,48.065,7.833,30.000,85.000,0.163
15-12-2017,GNV,686,R$/m3,2.421,0.290,1.760,3.199,0.680,0.120,1.741,0.214,1.446,2.468,0.123
15-01-2018,DIESEL,15772,R$/l,3.375,0.202,2.799,4.490,0.363,0.060,3.012,0.153,2.490,3.812,0.051
15-01-2018,DIESEL_S10,21383,R$/l,3.498,0.205,2.940,4.770,0.392,0.059,3.106,0.154,2.520,4.162,0.050
15-01-2018,ETANOL_HIDRATADO,24362,R$/l,2.984,0.347,2.197,4.739,0.346,0.116,2.638,0.280,1.690,3.908,0.106
15-01-2018,GASOLINA_COMUM,27471,R$/l,4.189,0.268,3.499,5.150,0.437,0.064,3.752,0.211,2.904,4.420,0.056
15-01-2018,GLP,21228,R$/13kg,67.305,8.791,45.000,120.000,18.089,0.131,49.216,7.760,30.000,94.500,0.158
15-01-2018,GNV,1452,R$/m3,2.468,0.300,1.760,3.299,0.688,0.122,1.780,0.206,1.244,2.531,0.116
15-02-2018,DIESEL,13194,R$/l,3.388,0.207,2.799,4.479,0.397,0.061,2.991,0.161,2.490,3.733,0.054
15-02-2018,DIESEL_S10,17837,R$/l,3.510,0.208,2.899,4.770,0.421,0.059,3.089,0.166,2.590,4.131,0.054
15-02-2018,ETANOL_HIDRATADO,20370,R$/l,3.023,0.361,2.199,4.739,0.332,0.119,2.691,0.303,2.040,4.007,0.113
15-02-2018,GASOLINA_COMUM,23032,R$/l,4.208,0.268,3.479,5.200,0.452,0.064,3.756,0.213,2.990,4.439,0.057
15-02-2018,GLP,17041,R$/13kg,66.804,8.832,45.000,120.000,17.159,0.132,49.645,7.775,31.560,94.500,0.157
15-02-2018,GNV,1250,R$/m3,2.519,0.302,1.799,3.299,0.695,0.120,1.824,0.226,1.244,2.492,0.124
15-03-2018,DIESEL,13454,R$/l,3.383,0.209,2.890,4.479,0.409,0.062,2.974,0.160,2.490,3.686,0.054
15-03-2018,DIESEL_S10,18582,R$/l,3.502,0.210,2.940,4.770,0.432,0.060,3.070,0.161,2.493,4.078,0.052
