DATE;27574 - COMMODITY INDEX - BRAZIL - INDEX;27575 - COMMODITY INDEX - BRAZIL - AGRICULTURE - INDEX;27576 - COMMODITY INDEX - BRAZIL - METAL - INDEX;27577 - COMMODITY INDEX - BRAZIL - ENERGY - INDEX
06/2007;92.03 ;87.96 ;130.28 ;70.80
07/2007;91.58 ;88.33 ;131.57 ;65.78
08/2007;93.84 ;91.72 ;129.92 ;67.12
09/2007;94.42 ;92.83 ;124.37 ;70.15
10/2007;92.96 ;89.37 ;125.16 ;73.17
11/2007;92.79 ;89.62 ;119.06 ;76.58
12/2007;93.82 ;93.98 ;112.21 ;73.37
01/2008;98.00 ;98.05 ;114.61 ;79.00
02/2008;103.45 ;102.18 ;121.93 ;86.49
03/2008;105.36 ;102.15 ;128.62 ;90.50
04/2008;105.34 ;100.40 ;125.72 ;98.47
05/2008;106.03 ;99.51 ;120.39 ;109.37
06/2008;107.75 ;101.57 ;112.06 ;118.47
07/2008;104.94 ;100.35 ;113.02 ;108.58
08/2008;97.28 ;95.88 ;102.75 ;93.53
09/2008;102.22 ;102.73 ;105.41 ;94.03
10/2008;102.97 ;104.17 ;100.62 ;96.42
11/2008;98.88 ;101.91 ;93.74 ;88.36
12/2008;97.98 ;105.39 ;85.55 ;79.93
01/2009;96.97 ;106.54 ;85.71 ;71.49
02/2009;93.49 ;103.60 ;84.97 ;64.43
03/2009;91.32 ;101.46 ;85.71 ;59.76
04/2009;90.71 ;101.47 ;88.25 ;54.71
05/2009;90.81 ;101.02 ;89.61 ;55.54
06/2009;87.34 ;94.71 ;91.94 ;56.56
07/2009;85.87 ;94.28 ;90.62 ;51.49
08/2009;86.52 ;93.61 ;97.36 ;51.12
09/2009;85.82 ;91.52 ;97.51 ;53.85
10/2009;86.38 ;90.83 ;96.39 ;60.02
11/2009;87.68 ;93.37 ;99.04 ;55.97
12/2009;91.77 ;96.99 ;105.85 ;59.00
01/2010;96.36 ;101.01 ;112.73 ;63.19
02/2010;96.70 ;102.85 ;107.98 ;62.53
03/2010;91.30 ;95.08 ;112.22 ;57.54
04/2010;90.12 ;92.12 ;117.25 ;57.75
05/2010;89.37 ;92.38 ;109.69 ;58.99
06/2010;87.96 ;90.98 ;103.21 ;61.46
07/2010;89.22 ;93.16 ;103.83 ;59.95
08/2010;93.76 ;98.32 ;112.92 ;58.72
09/2010;97.74 ;104.42 ;117.27 ;55.48
10/2010;102.18 ;108.89 ;126.86 ;55.29
11/2010;109.37 ;117.82 ;129.61 ;59.58
12/2010;114.05 ;123.07 ;133.34 ;62.66
01/2011;119.03 ;129.72 ;136.23 ;63.47
02/2011;125.67 ;138.16 ;145.49 ;61.84
03/2011;124.77 ;135.78 ;144.90 ;65.35
04/2011;120.59 ;128.88 ;146.73 ;65.63
05/2011;113.74 ;121.25 ;136.49 ;64.59
06/2011;111.36 ;119.31 ;129.76 ;64.23
07/2011;110.25 ;116.87 ;134.04 ;63.05
08/2011;111.02 ;119.72 ;129.28 ;61.55
09/2011;119.35 ;129.76 ;133.91 ;66.59
10/2011;115.74 ;126.60 ;124.93 ;65.94
11/2011;114.98 ;125.33 ;125.33 ;65.50
12/2011;113.62 ;124.27 ;122.88 ;63.91
01/2012;114.48 ;126.13 ;126.53 ;59.29
02/2012;111.70 ;121.72 ;129.97 ;57.15
03/2012;114.10 ;124.22 ;132.15 ;59.01
04/2012;113.80 ;123.92 ;132.10 ;58.41
05/2012;115.60 ;125.73 ;133.20 ;60.50
06/2012;115.24 ;126.11 ;131.59 ;58.61
07/2012;123.80 ;138.71 ;128.60 ;62.81
08/2012;124.72 ;139.31 ;128.80 ;65.35
09/2012;126.94 ;139.05 ;143.15 ;66.33
10/2012;125.61 ;136.54 ;141.79 ;69.38
11/2012;126.94 ;137.88 ;142.40 ;70.97
12/2012;128.75 ;139.30 ;150.16 ;69.17
01/2013;126.11 ;136.07 ;149.25 ;67.17
02/2013;122.00 ;131.05 ;144.98 ;66.37
03/2013;120.11 ;129.90 ;137.22 ;66.81
04/2013;118.01 ;128.12 ;129.79 ;68.08
05/2013;118.19 ;128.79 ;127.62 ;68.41
06/2013;124.03 ;136.06 ;132.37 ;69.91
07/2013;126.62 ;138.89 ;133.78 ;72.31
08/2013;131.71 ;142.51 ;148.77 ;74.18
09/2013;128.89 ;139.00 ;144.31 ;74.86
10/2013;125.28 ;134.81 ;140.85 ;73.11
11/2013;129.23 ;139.12 ;144.34 ;75.93
12/2013;132.85 ;141.76 ;147.96 ;82.52
01/2014;135.37 ;144.83 ;149.50 ;83.66
02/2014;140.49 ;151.74 ;150.76 ;85.28
03/2014;140.66 ;154.33 ;145.86 ;81.71
04/2014;136.79 ;149.81 ;142.47 ;79.89
05/2014;134.28 ;146.61 ;140.90 ;78.96
06/2014;133.55 ;144.63 ;142.82 ;80.23
07/2014;131.30 ;141.69 ;147.10 ;75.37
08/2014;129.87 ;138.89 ;149.81 ;75.34
09/2014;132.39 ;142.98 ;148.01 ;75.87
10/2014;139.28 ;153.56 ;149.14 ;74.99
11/2014;144.97 ;159.39 ;155.67 ;78.94
12/2014;144.54 ;162.05 ;155.88 ;68.41
01/2015;137.64 ;156.59 ;151.62 ;56.35
02/2015;143.96 ;162.47 ;157.86 ;63.56
03/2015;155.69 ;175.44 ;171.11 ;69.15
04/2015;151.96 ;171.26 ;166.85 ;67.29
05/2015;153.70 ;171.90 ;169.74 ;71.53
06/2015;155.07 ;175.76 ;162.38 ;71.53
07/2015;160.33 ;184.09 ;161.82 ;71.20
08/2015;168.00 ;193.41 ;169.74 ;72.45
09/2015;183.62 ;210.30 ;189.00 ;79.64
10/2015;185.03 ;213.08 ;189.09 ;77.24
11/2015;176.15 ;205.23 ;172.25 ;71.83
12/2015;178.15 ;209.86 ;175.48 ;64.25
01/2016;183.39 ;216.68 ;179.01 ;64.82
02/2016;180.54 ;210.97 ;189.38 ;60.98
03/2016;170.41 ;197.22 ;184.86 ;58.96
04/2016;164.72 ;188.81 ;181.15 ;61.10
05/2016;166.25 ;190.48 ;178.85 ;65.37
06/2016;166.98 ;190.51 ;176.96 ;70.83
07/2016;158.77 ;177.69 ;180.87 ;69.11
08/2016;155.61 ;173.26 ;179.93 ;68.67
09/2016;158.33 ;174.84 ;184.53 ;73.58
10/2016;158.07 ;172.03 ;182.41 ;80.67
11/2016;166.76 ;181.96 ;203.21 ;79.63
12/2016;170.31 ;181.07 ;204.77 ;90.46
01/2017;165.23 ;177.15 ;197.06 ;85.96
02/2017;159.60 ;170.80 ;194.84 ;81.60
03/2017;156.07 ;166.61 ;196.18 ;78.11
04/2017;156.15 ;165.40 ;193.74 ;81.35
05/2017;160.04 ;171.68 ;195.29 ;80.80
06/2017;159.74 ;171.84 ;198.80 ;78.17
07/2017;157.57 ;168.11 ;199.63 ;77.91
08/2017;154.23 ;160.08 ;207.01 ;79.41
09/2017;157.54 ;161.96 ;211.02 ;84.12
10/2017;162.52 ;166.48 ;217.08 ;88.01
11/2017;171.15 ;176.05 ;218.67 ;95.52
12/2017;169.65 ;173.02 ;219.70 ;96.01
01/2018;171.20 ;171.89 ;226.95 ;99.46
02/2018;171.78 ;174.84 ;231.79 ;94.14
03/2018;169.09 ;171.09 ;224.14 ;96.08
04/2018;175.83 ;174.02 ;236.50 ;105.40
05/2018;191.92 ;188.25 ;250.89 ;121.01
Source;BCB-Depec;BCB-Depec;BCB-Depec;BCB-Depec
