DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME
2000-04-01,16.437500,16.500000,14.250000,15.125000,7.041952,25744500
2000-05-01,15.000000,21.375000,14.500000,20.125000,9.369873,12164000
2000-06-01,20.187500,22.562500,19.937500,20.937500,9.748157,5956500
2000-07-01,20.812500,24.687500,18.812500,22.625000,10.533831,2779700
2000-08-01,23.125000,26.375000,22.250000,23.750000,11.057611,2271200
2000-09-01,24.000000,24.250000,19.750000,19.750000,9.195276,1134100
2000-10-01,20.250000,23.000000,19.500000,21.187500,10.183720,1439300
2000-11-01,20.750000,21.250000,16.625000,17.125000,8.231088,1923300
2000-12-01,18.000000,18.500000,15.812500,16.562500,7.960724,1751700
2001-01-01,16.687500,18.375000,15.750000,17.450001,8.387297,1704500
2001-02-01,17.250000,18.790001,16.500000,18.620001,8.949656,911400
2001-03-01,18.000000,18.250000,16.990000,18.000000,8.651654,1544200
2001-04-01,17.900000,21.600000,17.299999,21.549999,10.357949,1275600
2001-05-01,21.549999,23.590000,20.450001,22.370001,10.752082,1920800
2001-06-01,22.549999,23.610001,20.250000,20.400000,10.280750,1002400
2001-07-01,20.799999,21.049999,19.150000,20.410000,10.285790,526700
2001-08-01,20.559999,21.049999,19.350000,20.540001,10.351312,551500
2001-09-01,20.510000,21.219999,18.400000,19.180000,9.665925,672000
2001-10-01,19.180000,19.370001,17.250000,18.740000,9.821831,813800
2001-11-01,18.719999,18.790001,16.600000,17.590000,9.219105,966100
2001-12-01,17.000000,18.250000,17.000000,17.799999,9.329166,1109500
2002-01-01,18.000000,18.740000,17.900000,18.629999,9.764177,885700
2002-02-01,18.500000,19.120001,18.250000,18.889999,9.900450,1655500
2002-03-01,18.650000,21.080000,18.620001,20.920000,10.964390,1342200
2002-04-01,21.000000,21.379999,20.020000,20.330000,10.655166,1005200
2002-05-01,19.780001,20.990000,19.230000,20.980000,10.995841,1065200
2002-06-01,20.980000,22.480000,20.610001,21.959999,11.863866,746500
2002-07-01,21.400000,21.990000,19.139999,21.570000,11.653166,1256600
2002-08-01,21.000000,21.150000,19.670000,20.590000,11.123723,923900
2002-09-01,20.600000,21.379999,19.600000,20.100000,10.859005,1079100
2002-10-01,20.100000,20.750000,18.580000,18.780001,10.448829,1532800
2002-11-01,18.600000,19.700001,18.400000,19.049999,10.599052,851500
2002-12-01,19.150000,20.200001,19.139999,20.070000,11.166561,873400
2003-01-01,20.020000,21.379999,19.100000,21.100000,11.739634,1727100
2003-02-01,21.150000,21.889999,20.719999,20.990000,11.678429,757000
2003-03-01,21.250000,21.389999,20.330000,20.860001,11.606104,1072800
2003-04-01,21.000000,23.680000,20.559999,23.270000,12.946979,3943200
2003-05-01,23.299999,26.100000,22.850000,25.320000,14.655499,11831900
2003-06-01,25.719999,31.000000,25.650000,30.200001,17.480089,9354900
2003-07-01,30.110001,30.250000,27.100000,30.080000,17.410637,8849200
2003-08-01,30.400000,35.990002,29.250000,35.750000,20.692492,8055000
2003-09-01,35.709999,36.110001,30.799999,33.549999,19.419113,9587600
2003-10-01,33.750000,37.750000,33.330002,36.400002,21.793827,8168000
2003-11-01,36.950001,37.410000,34.900002,37.080002,22.200964,4807600
