DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME
2005-11-01,5.277747,5.886662,5.240142,5.877984,0.689283,45996700
2005-12-01,5.880877,5.995139,4.995708,5.331262,0.689453,36743000
2006-01-01,5.499039,7.136312,5.467219,6.864398,1.775120,44629000
2006-02-01,6.864398,7.696052,6.537522,7.515257,1.943431,27955600
2006-03-01,7.578897,7.665678,6.057332,6.576573,1.700689,69869800
2006-04-01,6.625749,7.231772,6.447848,6.854273,1.772501,28764100
2006-05-01,6.855720,7.447278,5.134558,5.539537,1.432513,72042200
2006-06-01,5.554001,6.437723,4.877107,6.162916,1.899950,68351000
2006-07-01,6.255483,6.436277,5.749259,6.307551,1.944540,31550500
2006-08-01,6.180272,6.586698,5.603177,6.000924,1.918433,34968100
2006-09-01,6.066010,6.398672,5.296550,5.676941,1.814859,51746800
2006-10-01,5.843272,6.430491,5.590159,6.264161,2.002587,66756400
2006-11-01,6.348049,6.774724,6.171594,6.570788,2.100612,46774800
2006-12-01,6.534629,7.165239,6.394332,6.971428,2.228693,40868700
2007-01-01,7.134866,7.246235,6.514380,6.974321,2.229618,42823800
2007-02-01,7.036514,7.474759,6.653230,6.930930,2.215746,51625300
2007-03-01,6.764599,7.269377,6.640213,7.036514,2.249500,64294400
2007-04-01,7.072673,8.238435,6.991677,7.502240,2.398388,65491000
2007-05-01,7.521043,8.621718,7.470420,8.554462,2.938044,78449300
2007-06-01,8.741042,10.110017,8.055470,9.155423,3.144446,72566900
2007-07-01,9.350681,9.836656,8.109709,8.838672,3.035656,68665700
2007-08-01,8.712838,9.112033,6.330693,8.244220,2.831491,72603900
2007-09-01,8.187812,9.893064,7.359051,9.255221,3.178722,46240700
2007-10-01,9.346342,9.788926,8.465512,9.372376,3.218958,57824300
2007-11-01,9.203153,9.979845,7.671463,9.090337,3.122092,57327100
2007-12-01,9.090337,9.797605,7.667124,8.009911,2.751018,83370300
2008-01-01,8.122726,8.669448,6.586698,6.912127,2.373981,100242900
2008-02-01,6.916467,8.673787,6.790634,8.257237,2.835962,70405000
2008-03-01,8.252898,8.964504,7.250575,7.827670,2.688426,71562100
2008-04-01,7.875400,9.428784,7.875400,8.899418,3.056520,58019200
2008-05-01,8.960165,10.452803,8.899418,10.257545,3.782747,74283300
2008-06-01,10.118695,10.825962,9.958150,10.652400,3.928360,78718800
2008-07-01,10.609009,11.520212,9.840995,10.305275,3.800349,86251300
2008-08-01,10.305275,10.517889,9.025251,9.363698,3.453117,71779300
2008-09-01,9.129389,9.315969,6.534629,8.565310,3.158690,95224100
2008-10-01,8.508903,8.829993,4.039668,6.599715,2.433823,132660100
2008-11-01,6.530290,7.454510,5.987907,6.868737,2.533033,93205900
2008-12-01,6.569342,6.807990,5.484576,5.961873,2.198602,77559000
2009-01-01,5.979229,6.378423,5.640782,5.896787,2.174599,48064800
2009-02-01,5.801327,6.495577,5.376099,5.927160,2.185801,50514000
2009-03-01,5.948855,6.829685,5.467219,6.413135,2.365017,68127500
2009-04-01,6.413135,7.315660,6.374084,6.530290,2.408221,79243800
2009-05-01,6.586698,7.327593,6.447848,7.175725,2.863816,80076300
2009-06-01,7.343864,8.168286,7.078096,7.289626,2.909274,95797100
2009-07-01,7.501155,7.967605,6.937077,7.745227,3.091104,81774700
2009-08-01,8.000148,8.591345,7.756075,7.924214,3.162538,63428300
2009-09-01,7.918790,8.434053,7.658446,8.244220,3.290251,64581900
2009-10-01,8.244220,9.318138,7.967605,8.564226,3.417964,88242800
2009-11-01,8.607616,9.996117,8.390663,9.752045,3.892020,70395200
2009-12-01,9.941878,11.113425,9.280171,9.795435,3.909337,97432600
2010-01-01,10.044931,10.175103,8.585921,9.041523,3.608453,79461400
2010-02-01,9.095761,9.345257,8.347273,8.878808,3.543514,74866000
2010-03-01,8.943893,9.480853,8.661855,9.025251,3.601958,74580700
2010-04-01,9.112033,10.115440,8.602193,8.754060,3.493727,82325100
2010-05-01,8.775755,9.095761,7.403526,7.794042,3.226368,96787000
2010-06-01,7.577089,8.233372,7.154030,7.956757,3.293725,95092000
2010-07-01,7.929638,8.412358,7.653022,8.244220,3.412720,84186600
2010-08-01,8.368968,8.998132,7.783195,8.943893,3.702353,67156400
2010-09-01,8.960165,9.160847,8.417783,8.889655,3.679901,57658400
2010-10-01,8.971013,9.952726,8.895080,9.676110,4.005457,81849100
2010-11-01,9.795435,10.082898,8.933046,9.263900,3.834821,66265700
2010-12-01,9.399495,9.784587,8.596768,8.998132,3.724805,62505800
2011-01-01,9.101185,9.784587,8.808298,8.960165,3.889168,69788500
2011-02-01,9.041523,9.144575,8.520835,9.144575,3.969211,72574200
2011-03-01,9.171695,10.500532,9.068642,10.451718,4.536578,102372500
2011-04-01,10.571042,11.438855,10.473413,11.319530,4.913253,80722900
2011-05-01,10.777148,10.831387,10.240189,10.354089,4.494202,69334500
2011-06-01,10.397480,11.249021,10.093745,11.194782,5.112413,84540100
2011-07-01,11.211054,11.422584,10.354089,10.467990,4.780503,74330700
2011-08-01,10.641552,10.701214,9.041523,10.261884,4.686378,109716800
2011-09-01,10.131712,10.294427,7.994724,8.048962,3.675786,77103800
2011-10-01,8.021843,9.366952,7.609632,9.242205,4.220714,87975800
2011-11-01,8.884232,9.551363,8.531683,9.518820,4.347036,72402500
2011-12-01,9.432038,9.958150,8.954741,9.648992,4.406484,81294400
2012-01-01,9.735773,11.097154,9.507972,10.977830,5.206774,76644000
2012-02-01,11.156816,12.740574,11.010372,12.382601,5.873055,100046400
2012-03-01,12.425992,13.461944,12.013781,12.897865,6.117443,102411100
2012-04-01,12.919560,14.215856,12.892441,13.380586,6.346397,101834500
2012-05-01,13.342619,13.451096,11.295123,11.681571,5.878833,108805900
2012-06-01,11.464618,12.657861,11.457838,12.488366,6.284858,66869700
2012-07-01,12.766337,13.295160,11.593434,12.888373,6.486164,55005700
2012-08-01,13.023969,13.539232,11.335802,11.525637,5.800358,69709700
2012-09-01,11.742589,12.108698,8.054386,8.217101,4.135314,193864800
2012-10-01,8.284899,8.867960,7.667938,8.128963,4.090959,140173500
2012-11-01,8.128963,8.495072,7.159454,8.298458,4.176257,162544100
2012-12-01,8.203541,8.854401,7.193353,7.362848,3.705406,136162100
2013-01-01,7.457765,7.789974,6.827245,7.444205,4.411465,93732300
2013-02-01,7.606920,8.196761,7.410306,8.067945,4.781095,71129100
2013-03-01,7.878111,8.976437,7.593360,8.034046,4.761006,98848800
2013-04-01,7.979808,8.732365,7.762855,8.698465,5.154745,98905100
2013-05-01,8.773043,8.863566,7.877027,7.968798,4.722340,72259400
2013-06-01,7.976445,8.251759,6.309269,6.859896,4.128097,80094900
2013-07-01,6.944020,7.509942,6.393393,7.081676,4.261557,65468700
2013-08-01,7.074029,7.188743,5.972775,6.079841,3.658681,68200600
2013-09-01,6.118079,6.760477,5.988070,6.607525,3.976226,75991100
2013-10-01,6.699296,7.257571,6.638115,6.859896,4.128097,68472600
2013-11-01,6.783420,6.890486,6.148669,6.385745,3.842766,71199100
2013-12-01,6.362802,6.500459,5.758642,5.957479,3.585047,81464500
2014-01-01,5.827470,5.995718,5.450000,5.770000,3.574219,130790500
2014-02-01,5.740000,5.860000,5.230000,5.790000,3.586608,118377100
2014-03-01,5.740000,7.020000,5.410000,6.800000,4.212252,119162000
2014-04-01,6.720000,7.550000,6.560000,7.540000,4.670644,231675900
2014-05-01,7.500000,7.760000,6.970000,7.020000,4.348531,119375300
2014-06-01,6.990000,8.400000,6.880000,7.990000,5.229652,81957800
2014-07-01,8.000000,9.020000,7.640000,8.220000,5.380193,103948800
2014-08-01,8.220000,8.830000,8.210000,8.590000,6.070516,93306900
2014-09-01,8.360000,8.680000,5.940000,6.230000,4.402714,98759900
2014-10-01,6.040000,7.280000,5.460000,5.780000,4.084702,139493000
2014-11-01,5.680000,5.890000,4.800000,5.520000,3.900960,116067400
2014-12-01,5.420000,5.430000,4.460000,4.970000,3.738152,117213300
2015-01-01,4.940000,4.970000,4.310000,4.510000,3.392166,79279000
2015-02-01,4.510000,4.690000,3.930000,4.600000,3.510761,57419400
2015-03-01,4.560000,4.560000,3.510000,4.090000,3.121525,86055400
2015-04-01,4.130000,5.200000,4.130000,4.920000,3.754988,70257400
2015-05-01,4.940000,5.350000,4.510000,4.520000,3.449705,62933600
2015-06-01,4.480000,4.690000,3.710000,3.810000,2.979793,96739200
2015-07-01,3.820000,3.860000,2.690000,2.750000,2.150769,89492000
2015-08-01,2.830000,2.900000,2.050000,2.100000,1.642406,88648700
2015-09-01,2.020000,2.080000,1.610000,1.780000,1.392134,85538700
2015-10-01,1.800000,2.080000,1.700000,1.950000,1.525091,77652600
2015-11-01,1.950000,2.140000,1.700000,1.710000,1.337388,65692500
2015-12-01,1.710000,1.770000,1.440000,1.500000,1.173147,74277800
2016-01-01,1.470000,1.510000,1.020000,1.480000,1.157505,69728600
2016-02-01,1.590000,1.720000,1.330000,1.500000,1.208968,92140600
2016-03-01,1.520000,2.420000,1.510000,2.260000,1.821512,106789900
2016-04-01,2.230000,2.300000,1.740000,1.960000,1.579719,128595000
2016-05-01,1.860000,1.960000,1.400000,1.490000,1.200909,89887200
2016-06-01,1.510000,2.250000,1.450000,2.210000,1.882221,76193700
2016-07-01,2.220000,2.790000,2.080000,2.770000,2.359163,130118300
2016-08-01,2.800000,3.080000,2.580000,2.670000,2.273994,104947100
2016-09-01,2.670000,3.020000,2.400000,2.590000,2.205860,78485700
