DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME
2003-05-01,4.620000,5.105000,4.505000,4.787500,0.310391,93803200
2003-06-01,4.837500,5.282500,4.712500,4.940000,0.320278,66702000
2003-07-01,4.897500,5.365000,4.872500,5.072500,0.328868,74277600
2003-08-01,5.002500,5.552500,4.600000,5.525000,0.358205,68047600
2003-09-01,5.490000,6.185000,5.455000,5.732500,0.371658,103293600
2003-10-01,5.775000,6.495000,5.750000,5.875000,0.380897,96827200
2003-11-01,5.912500,6.225000,5.850000,6.017500,0.390136,78606400
2003-12-01,6.095000,7.337500,6.095000,7.310000,1.118003,95460400
2004-01-01,7.367500,8.705000,7.210000,7.350000,1.124121,155819600
2004-02-01,7.350000,8.337500,7.090000,7.800000,1.192945,99935200
2004-03-01,7.975000,8.522500,7.687500,8.375000,1.280886,127602000
2004-04-01,8.422500,8.910000,7.047500,7.225000,1.637517,113390000
2004-05-01,7.255000,7.772500,5.922500,6.525000,1.478865,187090000
2004-06-01,6.497500,7.112500,6.225000,7.017500,1.590488,106469200
2004-07-01,7.037500,7.362500,6.650000,7.070000,1.602387,79814000
2004-08-01,6.987500,7.950000,6.850000,7.687500,1.742341,120084000
2004-09-01,7.712500,9.025000,7.712500,8.812500,1.997317,83426800
2004-10-01,8.862500,9.545000,8.450000,8.877500,3.588849,105248400
2004-11-01,8.912500,9.565000,8.825000,9.540000,3.856675,97637200
2004-12-01,9.562500,10.142500,8.865000,9.945000,4.020401,105622000
2005-01-01,10.025000,10.202500,9.302500,10.162500,4.108329,108237600
2005-02-01,10.245000,12.550000,10.180000,12.200000,4.932014,199649600
2005-03-01,11.987500,12.500000,10.370000,11.045000,4.465092,172162000
2005-04-01,11.137500,11.447500,10.040000,10.482500,4.237693,104364800
2005-05-01,10.590000,11.887500,10.412500,11.800000,5.293688,100162000
2005-06-01,11.732500,13.317500,11.410000,13.032500,5.846609,130798400
2005-07-01,12.950000,13.445000,12.337500,13.142500,5.895957,141275600
2005-08-01,13.145000,15.640000,13.130000,15.640000,9.068897,183697200
2005-09-01,15.577500,18.549999,15.462500,17.872499,10.363418,137858000
2005-10-01,17.937500,18.180000,14.507500,15.975000,9.263146,210026800
2005-11-01,16.129999,17.059999,15.305000,16.900000,9.799508,159270800
2005-12-01,17.125000,18.487499,16.682501,17.817499,10.331528,119798800
2006-01-01,18.174999,23.742500,18.165001,23.625000,13.699023,179790000
2006-02-01,23.350000,23.587500,20.549999,21.885000,12.841978,174844400
2006-03-01,22.100000,23.430000,20.344999,21.667500,12.714346,207724000
2006-04-01,21.787500,24.997499,21.750000,24.707500,14.498200,171197600
2006-05-01,24.969999,26.862499,20.027500,21.712500,15.445853,315665600
2006-06-01,21.650000,22.637501,17.250000,22.327499,15.883354,349178800
2006-07-01,22.367500,23.190001,21.037500,22.969999,16.340416,202705600
2006-08-01,22.717501,24.092501,21.930000,22.415001,15.945606,165382000
2006-09-01,22.415001,22.797501,18.445000,20.957500,14.908765,258433200
2006-10-01,21.092501,22.850000,19.312500,22.190001,15.785543,253410800
2006-11-01,21.937500,23.722500,21.430000,23.537500,16.744131,178840000
2006-12-01,23.424999,25.747499,22.982500,25.747499,20.006214,146667600
2007-01-01,25.875000,25.955000,22.590000,24.570000,19.091280,246010800
2007-02-01,24.757500,25.135000,22.250000,22.639999,18.230883,212568000
2007-03-01,21.700001,25.482500,20.690001,24.877501,20.032631,296321600
2007-04-01,25.000000,26.924999,24.672501,25.307501,20.378885,197222000
2007-05-01,25.297501,27.719999,24.629999,27.040001,22.439520,248642400
2007-06-01,27.485001,31.182501,26.512501,30.317499,25.159393,274914400
2007-07-01,30.575001,35.825001,30.565001,32.450001,26.929079,232035800
