DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME
1980-12-01,0.513393,0.645089,0.450893,0.609375,0.027618,336212800
1981-01-01,0.616071,0.620536,0.504464,0.504464,0.022863,152247200
1981-02-01,0.477679,0.515625,0.424107,0.473214,0.021447,80404800
1981-03-01,0.475446,0.482143,0.386161,0.437500,0.019828,175179200
1981-04-01,0.435268,0.524554,0.433036,0.506696,0.022964,134232000
1981-05-01,0.506696,0.593750,0.479911,0.591518,0.026808,147604800
1981-06-01,0.591518,0.593750,0.464286,0.464286,0.021042,237641600
1981-07-01,0.462054,0.468750,0.397321,0.446429,0.020233,166857600
1981-08-01,0.446429,0.464286,0.337054,0.359375,0.016287,137155200
1981-09-01,0.381696,0.390625,0.254464,0.272321,0.012342,185920000
1981-10-01,0.272321,0.359375,0.272321,0.357143,0.016186,226044000
1981-11-01,0.357143,0.359375,0.319196,0.332589,0.015073,146669600
1981-12-01,0.332589,0.410714,0.323661,0.395089,0.017906,259280000
1982-01-01,0.395089,0.395089,0.319196,0.363839,0.016490,216053600
1982-02-01,0.363839,0.366071,0.325893,0.325893,0.014770,152101600
1982-03-01,0.328125,0.330357,0.252232,0.301339,0.013657,299919200
1982-04-01,0.316964,0.319196,0.261161,0.263393,0.011937,437399200
1982-05-01,0.272321,0.292411,0.250000,0.250000,0.011330,310973600
1982-06-01,0.247768,0.252232,0.227679,0.227679,0.010319,200911200
1982-07-01,0.227679,0.258929,0.196429,0.241071,0.010926,354552800
1982-08-01,0.247768,0.323661,0.218750,0.321429,0.014568,539000000
1982-09-01,0.314732,0.339286,0.310268,0.325893,0.014770,415889600
1982-10-01,0.330357,0.477679,0.321429,0.453125,0.020536,944876800
1982-11-01,0.453125,0.607143,0.448661,0.569196,0.025797,788076800
1982-12-01,0.569196,0.622768,0.493304,0.533482,0.024178,681497600
1983-01-01,0.533482,0.750000,0.486607,0.729911,0.033081,1144757600
1983-02-01,0.729911,0.868304,0.718750,0.814732,0.036925,788323200
1983-03-01,0.814732,0.843750,0.716518,0.754464,0.034193,662082400
1983-04-01,0.754464,0.941964,0.689732,0.901786,0.040870,834708000
1983-05-01,0.901786,1.089286,0.850446,1.031250,0.046738,521102400
1983-06-01,1.031250,1.129464,0.816964,0.872768,0.039555,701870400
1983-07-01,0.872768,0.888393,0.604911,0.622768,0.028225,774457600
1983-08-01,0.622768,0.665179,0.535714,0.665179,0.030147,765385600
1983-09-01,0.665179,0.709821,0.395089,0.412946,0.018715,1985401600
1983-10-01,0.412946,0.428571,0.319196,0.404018,0.018311,1255469600
1983-11-01,0.404018,0.430804,0.308036,0.363839,0.016490,1030540000
1983-12-01,0.363839,0.450893,0.352679,0.435268,0.019727,664154400
1984-01-01,0.435268,0.526786,0.412946,0.441964,0.020030,1089704000
1984-02-01,0.441964,0.493304,0.399554,0.468750,0.021244,777840000
